local_id,name,canonical_name,category_name,status,problem,page_url,inventory_image_url,world_image_url,color_image_url,inventory_image_path,world_image_path,color_image_path,internal_item_id,internal_tile_id
0,Dirt Block,dirt block,Soil,ok,,https://terraria.wiki.gg/wiki/Dirt_Block,https://terraria.wiki.gg/images/Dirt_Block.png?bc57a6,https://terraria.wiki.gg/images/Dirt_Block_%28placed%29.png?70d6bd,https://terraria.wiki.gg/images/Dirt_Block_%28placed%29.png?70d6bd,images\inventory\0_dirt_block_inventory.png,images\world\0_dirt_block_world.png,images\color\0_dirt_block_color.png,2,0
1,Wood,wood,Grown,problem,missing_world_image,https://terraria.wiki.gg/wiki/Wood,https://terraria.wiki.gg/images/Any_Wood.gif?952c00,,,images\inventory\1_wood_inventory.gif,,,,
2,Living Wood,living wood,Other Found,ok,,https://terraria.wiki.gg/wiki/Living_Wood,https://terraria.wiki.gg/images/Living_Wood.png?dcd0a1,https://terraria.wiki.gg/images/Living_Wood_%28placed%29.png?36055e,https://terraria.wiki.gg/images/Living_Wood_%28placed%29.png?36055e,images\inventory\2_living_wood_inventory.png,images\world\2_living_wood_world.png,images\color\2_living_wood_color.png,,191
3,Active Stone Block,active stone block,Trap Blocks,ok,,https://terraria.wiki.gg/wiki/Active_Stone_Block,https://terraria.wiki.gg/images/Active_Stone_Block.png?da859f,https://terraria.wiki.gg/images/Stone_Block_%28placed%29.png?192aca,https://terraria.wiki.gg/images/Stone_Block_%28placed%29.png?192aca,images\inventory\3_active_stone_block_inventory.png,images\world\3_active_stone_block_world.png,images\color\3_active_stone_block_color.png,511,130
4,Copper Ore,copper ore,Ore,ok,,https://terraria.wiki.gg/wiki/Copper_Ore,https://terraria.wiki.gg/images/Copper_Ore.png?41d378,https://terraria.wiki.gg/images/Copper_Ore_%28placed%29.png?f155a6,https://terraria.wiki.gg/images/Copper_Ore_%28placed%29.png?f155a6,images\inventory\4_copper_ore_inventory.png,images\world\4_copper_ore_world.png,images\color\4_copper_ore_color.png,12,7
5,Gray Brick,gray brick,Bricks,ok,,https://terraria.wiki.gg/wiki/Gray_Brick,https://terraria.wiki.gg/images/Gray_Brick.png?c3fed6,https://terraria.wiki.gg/images/Gray_Brick_%28placed%29.png?b11a55,https://terraria.wiki.gg/images/Gray_Brick_%28placed%29.png?b11a55,images\inventory\5_gray_brick_inventory.png,images\world\5_gray_brick_world.png,images\color\5_gray_brick_color.png,129,38
6,Large Bamboo,large bamboo,Other Crafted,ok,,https://terraria.wiki.gg/wiki/Large_Bamboo,https://terraria.wiki.gg/images/Large_Bamboo.png?748f07,https://terraria.wiki.gg/images/Large_Bamboo_%28placed%29.png?5cefd4,https://terraria.wiki.gg/images/Large_Bamboo_%28placed%29.png?5cefd4,images\inventory\6_large_bamboo_inventory.png,images\world\6_large_bamboo_world.png,images\color\6_large_bamboo_color.png,4547,563
7,Dyansty Wood,dyansty wood,Purchased,problem,exception,https://terraria.wiki.gg/wiki/Dyansty_Wood,,,,,,,,
8,Candy Cane Block,candy cane block,Looted,ok,,https://terraria.wiki.gg/wiki/Candy_Cane_Block,https://terraria.wiki.gg/images/Candy_Cane_Block.png?13deae,https://terraria.wiki.gg/images/Candy_Cane_Block_%28placed%29.png?9059e5,https://terraria.wiki.gg/images/Candy_Cane_Block_%28placed%29.png?9059e5,images\inventory\8_candy_cane_block_inventory.png,images\world\8_candy_cane_block_world.png,images\color\8_candy_cane_block_color.png,586,145
9,Stone Block,stone block,Soil,ok,,https://terraria.wiki.gg/wiki/Stone_Block,https://terraria.wiki.gg/images/Stone_Block.png?ebe88c,https://terraria.wiki.gg/images/Stone_Block_%28placed%29.png?192aca,https://terraria.wiki.gg/images/Stone_Block_%28placed%29.png?192aca,images\inventory\9_stone_block_inventory.png,images\world\9_stone_block_world.png,images\color\9_stone_block_color.png,3,1
