TERRARIA COLOR REPORT
=====================

MÉTHODE
-------
Moyenne correcte en linear RGB avec pondération alpha.
Étapes :
1. ouvrir l'image en RGBA
2. ignorer les pixels avec alpha trop faible
3. convertir chaque canal sRGB vers linear RGB
4. faire la moyenne en linear RGB
5. reconvertir la moyenne finale vers sRGB 0-255

method : alpha_weighted_linear_rgb_mean_v1
alpha_threshold : 10
process_animated_images : True
max_frames_per_image : 60

COUNTS
------
Objets lus : 315
Couleurs calculées : 315
Erreurs : 0
Images manquantes : 0

EXEMPLES
--------
000 | Dirt Block | correct=#956C4F (149, 108, 79) | naive=#8A6449 (138, 100, 73) | pixels=2116 | image_role=color_image_path
001 | Wood | correct=#8B654B (139, 101, 75) | naive=#7F5D44 (127, 93, 68) | pixels=2268 | image_role=color_image_path
002 | Living Wood | correct=#8D664A (141, 102, 74) | naive=#845F45 (132, 95, 69) | pixels=2236 | image_role=color_image_path
003 | Active Stone Block | correct=#797979 (121, 121, 121) | naive=#686868 (104, 104, 104) | pixels=2152 | image_role=color_image_path
004 | Copper Ore | correct=#9D603A (157, 96, 58) | naive=#8C4E2D (140, 78, 45) | pixels=2148 | image_role=color_image_path
005 | Gray Brick | correct=#6D6D6D (109, 109, 109) | naive=#606060 (96, 96, 96) | pixels=2288 | image_role=color_image_path
006 | Large Bamboo | correct=#6D722E (109, 114, 46) | naive=#5D6621 (93, 102, 33) | pixels=2272 | image_role=color_image_path
007 | Dyansty Wood | correct=#613617 (97, 54, 23) | naive=#4F2C14 (79, 44, 20) | pixels=2288 | image_role=color_image_path
008 | Candy Cane Block | correct=#C78C91 (199, 140, 145) | naive=#B85D70 (184, 93, 112) | pixels=2288 | image_role=color_image_path
009 | Stone Block | correct=#797979 (121, 121, 121) | naive=#686868 (104, 104, 104) | pixels=2152 | image_role=color_image_path
010 | Boreal Wood | correct=#5D4D45 (93, 77, 69) | naive=#55463D (85, 70, 61) | pixels=2304 | image_role=color_image_path
011 | Leaf Block | correct=#117030 (17, 112, 48) | naive=#10602B (16, 96, 43) | pixels=2060 | image_role=color_image_path
012 | Inactive Stone Block | correct=#797979 (121, 121, 121) | naive=#686868 (104, 104, 104) | pixels=2152 | image_role=color_image_path
013 | Tin Ore | correct=#79735E (121, 115, 94) | naive=#696654 (105, 102, 84) | pixels=2148 | image_role=color_image_path
014 | Red Brick | correct=#8F5650 (143, 86, 80) | naive=#7D4C45 (125, 76, 69) | pixels=2288 | image_role=color_image_path
015 | Feywood | correct=#8A5B48 (138, 91, 72) | naive=#7B4F42 (123, 79, 66) | pixels=2172 | image_role=color_image_path
016 | Blue Dynasty Shingles | correct=#436E70 (67, 110, 112) | naive=#3E6262 (62, 98, 98) | pixels=2196 | image_role=color_image_path
017 | Green Candy Cane Block | correct=#C78C91 (199, 140, 145) | naive=#B85D70 (184, 93, 112) | pixels=2288 | image_role=color_image_path
018 | Ebonstone Block | correct=#584B69 (88, 75, 105) | naive=#4F425E (79, 66, 94) | pixels=2152 | image_role=color_image_path
019 | Palm Wood | correct=#8C6F42 (140, 111, 66) | naive=#81653D (129, 101, 61) | pixels=2288 | image_role=color_image_path
020 | Living Mahogany | correct=#8C5459 (140, 84, 89) | naive=#7D4A4E (125, 74, 78) | pixels=2148 | image_role=color_image_path
021 | Explosives | correct=#7F3A34 (127, 58, 52) | naive=#702A21 (112, 42, 33) | pixels=476 | image_role=color_image_path
022 | Iron Ore | correct=#887972 (136, 121, 114) | naive=#74635C (116, 99, 92) | pixels=2148 | image_role=color_image_path
023 | Sandstone Brick | correct=#ADA25C (173, 162, 92) | naive=#9E9350 (158, 147, 80) | pixels=2288 | image_role=color_image_path
024 | Flinx Fur Block | correct=#CCAACD (204, 170, 205) | naive=#C2A2C8 (194, 162, 200) | pixels=2008 | image_role=color_image_path
