MANUAL FIX REPORT
=================

[74] Flame Trap | WORLD https://terraria.wiki.gg/images/Flame_Trap.png?70d80d | status=complete
[78] Pink Team Block | WORLD https://terraria.wiki.gg/images/Pink_Team_Block_%28placed%29.png?2a02d6 | status=complete
[79] Crimsand Block | WORLD https://terraria.wiki.gg/images/Crimsand_Block_%28placed%29.png?cd6eff | status=complete
[86] White Team Block | WORLD https://terraria.wiki.gg/images/White_Team_Block_%28placed%29.png?34c654 | status=complete
[87] Pearlsand Block | WORLD https://terraria.wiki.gg/images/Pearlsand_Block_%28placed%29.png?343891 | status=complete
[88] Cactus | INVENTORY https://terraria.wiki.gg/images/Cactus.png?b711d1 | status=complete
[88] Cactus | MODIF world | https://terraria.wiki.gg/images/Cactus_%28placed%29.png?81ac97 | status=complete
[94] Dull Red Team Block | INVENTORY https://terraria.wiki.gg/images/Dull_Red_Team_Block.png?f1de97 | status=missing_world_and_color
[94] Dull Red Team Block | WORLD https://terraria.wiki.gg/images/Dull_Red_Team_Block.png?f1de97ù | status=complete
[94] Dull Red Team Block | MODIF world | https://terraria.wiki.gg/images/Dull_Red_Team_Block.png?f1de97 | status=complete
[95] Sandstone Block | WORLD https://terraria.wiki.gg/images/Sandstone_Block_%28placed%29.png?8018fb | status=complete
[102] Dull Green Team Block | INVENTORY https://terraria.wiki.gg/images/Dull_Green_Team_Block.png?bd33a1 | status=missing_world_and_color
[102] Dull Green Team Block | WORLD https://terraria.wiki.gg/images/Dull_Green_Team_Block_%28placed%29.png?f4ca71 | status=complete
[103] Ebonsandstone Block | WORLD https://terraria.wiki.gg/images/Ebonsand_Block_%28placed%29.png?b0a30c | status=complete
[104] Bamboo | INVENTORY https://terraria.wiki.gg/images/Bamboo.png?369a9d | status=complete
[104] Bamboo | MODIF world | https://terraria.wiki.gg/images/Bamboo_%28placed%29.png?2c1076 | status=complete
[94] Dull Red Team Block | MODIF world | https://terraria.wiki.gg/images/Dull_Red_Team_Block_%28placed%29.png?b52082 | status=complete
[110] Dull Blue Team Block | INVENTORY https://terraria.wiki.gg/images/Dull_Blue_Team_Block.png?f571a4 | status=missing_world_and_color
[110] Dull Blue Team Block | WORLD https://terraria.wiki.gg/images/Dull_Blue_Team_Block_%28placed%29.png?52fb86 | status=complete
[111] Crimsandstone Block | WORLD https://terraria.wiki.gg/images/Crimsand_Block_%28placed%29.png?cd6effù | status=complete
[111] Crimsandstone Block | MODIF world | https://terraria.wiki.gg/images/Crimsand_Block_%28placed%29.png?cd6eff | status=complete
[112] Red Moss | WORLD https://terraria.wiki.gg/images/Red_Moss_%28placed%29.png?14a582 | status=complete
[118] Dull Yellow Team Block | INVENTORY https://terraria.wiki.gg/images/Dull_Yellow_Team_Block.png?6feca5 | status=missing_world_and_color
[118] Dull Yellow Team Block | WORLD https://terraria.wiki.gg/images/Dull_Yellow_Team_Block_%28placed%29.png?babdc6 | status=complete
[119] Pearlsandstone | PAGE https://terraria.wiki.gg/wiki/Sandstone_Blocks
[119] Pearlsandstone | WORLD https://terraria.wiki.gg/images/Pearlsandstone_Block_%28placed%29.png?276c48 | status=complete
[120] Brown Moss | WORLD https://terraria.wiki.gg/images/Brown_Moss_%28placed%29.png?d18569 | status=complete
[122] Rolling Cactus | WORLD https://terraria.wiki.gg/images/Rolling_Cactus.png?d0502c | status=complete
[124] Platinum brick | PAGE https://terraria.wiki.gg/wiki/Platinum_Brick
[126] Dull Pink Team Block | INVENTORY https://terraria.wiki.gg/images/Dull_Pink_Team_Block.png?bf18e6 | status=missing_world_and_color
[126] Dull Pink Team Block | WORLD https://terraria.wiki.gg/images/Dull_Pink_Team_Block_%28placed%29.png?7ae3d9 | status=complete
[127] Hardened Sand Block | WORLD https://terraria.wiki.gg/images/Hardened_Sand_Block_%28placed%29.png?db9cb6 | status=complete
[128] Green Moss | WORLD https://terraria.wiki.gg/images/Green_Moss_%28placed%29.png?8acc95 | status=complete
[130] Antlion Eggs | WORLD https://terraria.wiki.gg/images/Antlion_Eggs.png?6bc6f1 | status=complete
[134] Dull White Team Block | INVENTORY https://terraria.wiki.gg/images/Dull_White_Team_Block.png?25ce9a | status=missing_world_and_color
[134] Dull White Team Block | WORLD https://terraria.wiki.gg/images/Dull_White_Team_Block_%28placed%29.png?e2aaef | status=complete
[135] Hardened Ebonsand Block | WORLD https://terraria.wiki.gg/images/Hardened_Ebonsand_Block_%28placed%29.png?3c8e9b | status=complete
[136] Blue Moss | WORLD https://terraria.wiki.gg/images/Blue_Moss_%28placed%29.png?ce0dc4 | status=complete
[143] Hardened Crimsand Block | WORLD https://terraria.wiki.gg/images/Hardened_Crimsand_Block_%28placed%29.png?70c09f | status=complete
[144] Purple Moss | WORLD https://terraria.wiki.gg/images/Purple_Moss_%28placed%29.png?8976f0 | status=complete
[149] Red Stucco | WORLD https://terraria.wiki.gg/images/Red_Stucco_%28placed%29.png?c445fe | status=complete
[151] Hardened Pearlsand Block | WORLD https://terraria.wiki.gg/images/Hardened_Pearlsand_Block_%28placed%29.png?7ec8ff | status=complete
[152] Lava Moss | INVENTORY https://terraria.wiki.gg/images/Lava_Moss.png?f67138 | status=missing_world_and_color
[152] Lava Moss | WORLD https://terraria.wiki.gg/images/Lava_Moss_%28placed%29.png?8cbbb6 | status=complete
[157] Yellow Stucco | WORLD https://terraria.wiki.gg/images/Yellow_Stucco_%28placed%29.png?869513 | status=complete
[160] Krypton Moss | INVENTORY https://terraria.wiki.gg/images/Krypton_Moss.png?39549e | status=missing_world_and_color
[160] Krypton Moss | WORLD https://terraria.wiki.gg/images/Krypton_Moss_%28placed%29.png?166d07 | status=complete
[164] Green Stucco | WORLD https://terraria.wiki.gg/images/Green_Stucco_%28placed%29.png?d90866 | status=complete
